date,lat,lon,sst_celsius,lss_class
2025-07-17,30.5700,121.3200,30.59,1
2025-07-17,30.5700,121.3300,30.56,1
2025-07-17,30.5700,121.3400,30.54,1
2025-07-17,30.5700,121.4100,30.42,1
2025-07-17,30.5700,121.5600,29.36,1
2025-07-17,30.5700,121.5700,29.25,1
2025-07-17,30.5800,121.3000,30.55,1
2025-07-17,30.5800,121.3100,30.56,1
2025-07-17,30.5800,121.3200,30.53,1
2025-07-17,30.5800,121.3300,30.51,1
2025-07-17,30.5800,121.3400,30.51,1
2025-07-17,30.5800,121.6200,29.18,1
2025-07-17,30.5800,121.6300,29.12,1
2025-07-17,30.5900,121.3000,30.51,1
2025-07-17,30.5900,121.3100,30.52,1
2025-07-17,30.5900,121.3200,30.51,1
2025-07-17,30.5900,121.3300,30.51,1
2025-07-17,30.5900,121.3400,30.50,1
2025-07-17,30.5900,121.3500,30.48,1
2025-07-17,30.5900,121.4100,30.29,1
2025-07-17,30.5900,121.6200,29.13,1
2025-07-17,30.5900,121.6300,29.09,1
2025-07-17,30.6000,121.2700,30.48,1
2025-07-17,30.6000,121.2800,30.46,1
2025-07-17,30.6000,121.3200,30.48,1
2025-07-17,30.6000,121.3300,30.48,1
2025-07-17,30.6000,121.4100,30.29,1
2025-07-17,30.6000,121.6100,29.14,1
2025-07-17,30.6000,121.6200,29.08,1
2025-07-17,30.6000,121.6700,28.99,1
2025-07-17,30.6100,121.2600,30.41,1
2025-07-17,30.6100,121.2700,30.39,1
2025-07-17,30.6100,121.2800,30.42,1
2025-07-17,30.6100,121.4200,30.22,1
2025-07-17,30.6200,121.2700,30.37,1
2025-07-17,30.6200,121.2800,30.41,1
2025-07-17,30.6200,121.4300,30.16,1
2025-07-17,30.6200,121.9300,28.46,1
2025-07-17,30.6200,121.9400,28.43,1
2025-07-17,30.6200,121.9600,28.38,1
2025-07-17,30.6300,121.2700,30.28,1
2025-07-17,30.6300,121.2800,30.33,1
2025-07-17,30.6300,121.4300,30.14,1
2025-07-17,30.6300,121.6000,29.14,1
2025-07-17,30.6300,128.4600,28.04,1
2025-07-17,30.6500,121.5500,29.24,1
2025-07-17,30.6600,121.3200,30.30,1
2025-07-17,30.6600,121.5500,29.19,1
2025-07-17,30.6600,121.5600,29.17,1
2025-07-17,30.6600,121.8900,28.39,1
2025-07-17,30.6600,121.9000,28.34,1
2025-07-17,30.6600,121.9100,28.33,1
2025-07-17,30.6600,121.9200,28.31,1
2025-07-17,30.6600,121.9300,28.29,1
2025-07-17,30.6600,121.9400,28.20,1
2025-07-17,30.6700,121.3200,30.26,1
2025-07-17,30.6700,121.3300,30.25,1
2025-07-17,30.6700,121.5600,29.15,1
2025-07-17,30.6700,121.8900,28.34,1
2025-07-17,30.6700,121.9000,28.31,1
2025-07-17,30.6700,121.9100,28.32,1
2025-07-17,30.6700,121.9200,28.29,1
2025-07-17,30.6700,121.9300,28.26,1
2025-07-17,30.6700,121.9400,28.18,1
